bin_left,bin_right,count
27.999999999999996,28.851186168329956,1
28.851186168329956,29.728247975701212,0
29.728247975701212,30.631972028758355,1
30.631972028758355,31.5631688465994,0
31.5631688465994,32.52267358770256,2
32.52267358770256,33.51134679895122,0
33.51134679895122,34.53007518742893,0
34.53007518742893,35.57977241567654,0
35.57977241567654,36.66137992112481,2
36.66137992112481,37.77586776043736,1
37.77586776043736,38.92423547952114,1
38.92423547952114,40.10751300998495,1
40.10751300998495,41.3267615928497,0
41.3267615928497,42.58307473033911,0
42.58307473033911,43.87757916660431,1
43.87757916660431,45.211435898262046,2
45.211435898262046,46.585841215652664,1
46.585841215652664,48.00202777575192,4
48.00202777575192,49.46126570769873,0
49.46126570769873,50.96486375193038,1
50.96486375193038,52.51417043394695,3
52.51417043394695,54.11057527375759,3
54.11057527375759,55.75551003209331,1
55.75551003209331,57.450449994504034,1
57.450449994504034,59.19691529449167,1
59.19691529449167,60.99647227686565,1
60.99647227686565,62.85073490254386,1
62.85073490254386,64.7613661960588,4
64.7613661960588,66.73007973706726,4
66.73007973706726,68.75864119720107,2
68.75864119720107,70.84886992363751,1
70.84886992363751,73.00264057080925,4
73.00264057080925,75.22188478171769,0
75.22188478171769,77.50859292035727,2
77.50859292035727,79.86481585680461,4
79.86481585680461,82.29266680657359,4
82.29266680657359,84.79432322588578,2
84.79432322588578,87.37202876455628,1
87.37202876455628,90.0280952782462,3
90.0280952782462,92.76490490188672,2
92.76490490188672,95.58491218613423,4
95.58491218613423,98.49064629877249,4
98.49064629877249,101.48471329303655,3
101.48471329303655,104.56979844489241,5
104.56979844489241,107.748668661369,4
107.748668661369,111.02417496210202,4
111.02417496210202,114.39925503631584,5
114.39925503631584,117.87693587753597,2
117.87693587753597,121.46033649839583,2
121.46033649839583,125.15267072797215,1
125.15267072797215,128.957250094158,2
128.957250094158,132.87748679365853,2
132.87748679365853,136.91689675227315,3
136.91689675227315,141.07910277820872,1
141.07910277820872,145.367837811252,3
145.367837811252,149.78694827071524,2
149.78694827071524,154.34039750515768,5
154.34039750515768,159.03226934697688,3
159.03226934697688,163.866771775058,2
163.866771775058,168.84824068876557,1
168.84824068876557,173.9811437966629,4
173.9811437966629,179.27008462344665,5
179.27008462344665,184.71980663869022,1
184.71980663869022,190.3351975110987,5
190.3351975110987,196.1212934920915,0
196.1212934920915,202.08328393264324,3
202.08328393264324,208.22651593743473,0
208.22651593743473,214.55649916048768,2
214.55649916048768,221.0789107465843,3
221.0789107465843,227.7996004229038,3
227.7996004229038,234.72459574544195,6
234.72459574544195,241.86010750491914,1
241.86010750491914,249.2125352970257,5
249.2125352970257,256.7884732619997,4
256.7884732619997,264.5947159986847,2
264.5947159986847,272.6382646583731,8
272.6382646583731,280.92633322389776,0
280.92633322389776,289.46635497960614,3
289.46635497960614,298.26598917801795,4
298.26598917801795,307.3331279091459,5
307.3331279091459,316.67590317864045,1
316.67590317864045,326.30269420110676,5
326.30269420110676,336.2221349151347,4
336.2221349151347,346.4431217267823,0
346.4431217267823,356.97482148845694,3
356.97482148845694,367.8266797203509,4
367.8266797203509,379.00842908180437,2
379.00842908180437,390.5300981001936,3
390.5300981001936,402.4020201651731,5
402.4020201651731,414.63484279633843,1
414.63484279633843,427.23953719262096,1
427.23953719262096,440.22740807198,3
440.22740807198,453.61010381021634,5
453.61010381021634,467.3996268880011,1
467.3996268880011,481.6083446554886,2
481.6083446554886,496.2490004241686,6
496.2490004241686,511.3347248959051,1
511.3347248959051,526.8790479394122,1
526.8790479394122,542.8959107247296,1
