bin_left,bin_right,count
1,1311,282
1311,2622,13
2622,3933,3
3933,5243,1
5243,6554,1
6554,7865,0
7865,9176,0
9176,10486,0
10486,11797,0
11797,13108,0
13108,14418,0
14418,15729,0
15729,17040,0
17040,18351,0
18351,19661,0
19661,20972,0
20972,22283,0
22283,23593,0
23593,24904,0
24904,26215,0
26215,27526,0
27526,28836,0
28836,30147,0
30147,31458,0
31458,32768,0
32768,34079,0
34079,35390,0
35390,36701,0
36701,38011,0
38011,39322,0
39322,40633,0
40633,41943,0
41943,43254,0
43254,44565,0
44565,45876,0
45876,47186,0
47186,48497,0
48497,49808,0
49808,51118,0
51118,52429,0
52429,53740,0
53740,55051,0
55051,56361,0
56361,57672,0
57672,58983,0
58983,60293,0
60293,61604,0
61604,62915,0
62915,64226,0
64226,65536,0
65536,66847,0
66847,68158,0
68158,69468,0
69468,70779,0
70779,72090,0
72090,73401,0
73401,74711,0
74711,76022,0
76022,77333,0
77333,78643,0
78643,79954,0
79954,81265,0
81265,82576,0
82576,83886,0
83886,85197,0
85197,86508,0
86508,87818,0
87818,89129,0
89129,90440,0
90440,91751,0
91751,93061,0
93061,94372,0
94372,95683,0
95683,96993,0
96993,98304,0
98304,99615,0
99615,100926,0
100926,102236,0
102236,103547,0
103547,104858,0
104858,106168,0
106168,107479,0
107479,108790,0
108790,110101,0
110101,111411,0
111411,112722,0
112722,114033,0
114033,115343,0
115343,116654,0
116654,117965,0
117965,119276,0
119276,120586,0
120586,121897,0
121897,123208,0
123208,124518,0
124518,125829,0
125829,127140,0
127140,128451,0
128451,129761,0
129761,131072,0
131072,132383,0
132383,133693,0
133693,135004,0
135004,136315,0
136315,137626,0
137626,138936,0
138936,140247,0
140247,141558,0
141558,142868,0
142868,144179,0
144179,145490,0
145490,146801,0
146801,148111,0
148111,149422,0
149422,150733,0
150733,152043,0
152043,153354,0
153354,154665,0
154665,155976,0
155976,157286,0
157286,158597,0
158597,159908,0
159908,161218,0
161218,162529,0
162529,163840,0
163840,165151,0
165151,166461,0
166461,167772,0
167772,169083,0
169083,170393,0
170393,171704,0
171704,173015,0
173015,174326,0
174326,175636,0
175636,176947,0
176947,178258,0
178258,179568,0
179568,180879,0
180879,182190,0
182190,183501,0
183501,184811,0
184811,186122,0
186122,187433,0
187433,188743,0
188743,190054,0
190054,191365,0
191365,192676,0
192676,193986,0
193986,195297,0
195297,196608,0
196608,197918,0
197918,199229,0
199229,200540,0
200540,201851,0
201851,203161,0
203161,204472,0
204472,205783,0
205783,207093,0
207093,208404,0
208404,209715,0
209715,211026,0
211026,212336,0
212336,213647,0
213647,214958,0
214958,216268,0
216268,217579,0
217579,218890,0
218890,220201,0
220201,221511,0
221511,222822,0
222822,224133,0
224133,225443,0
225443,226754,0
226754,228065,0
228065,229376,0
229376,230686,0
230686,231997,0
231997,233308,0
233308,234618,0
234618,235929,0
235929,237240,0
237240,238551,0
238551,239861,0
239861,241172,0
241172,242483,0
242483,243793,0
243793,245104,0
245104,246415,0
246415,247726,0
247726,249036,0
249036,250347,0
250347,251658,0
251658,252968,0
252968,254279,0
254279,255590,0
255590,256901,0
256901,258211,0
258211,259522,0
259522,260833,0
260833,262144,0
