,total,ETA,sys/monitoring_time,progress,job_config/common/kv_heads,job_config/common/dff
0,36.27039112239583,0.00011334461805126459,36.27027777777778,0.9999968750097656,1,3520
1,36.0926127890625,0.00011278906249573006,36.0925,0.9999968750097656,1,3200
2,36.737614804687496,0.00011480468749565374,36.7375,0.9999968750097656,1,3840
3,36.63622559895833,0.00011448784721788798,36.63611111111111,0.9999968750097656,1,3520
4,35.61622241145833,0.00011130034721800864,35.61611111111111,0.9999968750097656,1,3840
5,35.79844520312499,0.00011186979166243153,35.79833333333333,0.9999968750097656,1,3200
6,34.782886473958335,0.00010869618055144058,34.78277777777778,0.9999968750097656,1,2560
7,34.79649762760417,0.00010873871527366118,34.79638888888889,0.9999968750097656,1,2560
8,36.630670026041656,0.0001144704861067775,36.63055555555555,0.9999968750097656,16,2560
9,36.55289200520833,0.00011422743055123116,36.55277777777778,0.9999968750097656,16,2560
10,36.441502768229164,0.00011387934027346656,36.44138888888889,0.9999968750097656,1,3520
11,36.32705796614583,0.00011352170138459121,36.32694444444444,0.9999968750097656,16,2560
12,36.641503393229165,0.00011450434027344291,36.64138888888889,0.9999968750097656,1,3840
13,36.55789202083333,0.00011424305555123058,36.55777777777778,0.9999968750097656,16,2560
14,36.62122555208333,0.00011444097221788975,36.62111111111111,0.9999968750097656,1,3840
15,34.638441578125,0.00010824479166256877,34.638333333333335,0.9999968750097656,1,2560
16,36.627614460937494,0.00011446093749566676,36.6275,0.9999968750097656,16,2560
17,36.01039030989583,0.00011253211805129536,36.01027777777778,0.9999968750097656,1,3200
18,36.771781578124994,0.00011491145832898305,36.77166666666667,0.9999968750097656,1,3840
19,33.79288338020833,0.00010560243055155769,33.79277777777778,0.9999968750097656,1,2560
20,35.74038946614583,0.00011168836805132728,35.74027777777778,0.9999968750097656,1,3520
21,34.61288594270833,0.00010816493055146068,34.61277777777778,0.9999968750097656,1,3200
22,34.969275945312496,0.0001092786458291963,34.969166666666666,0.9999968750097656,1,3520
23,33.22954828645833,0.00010384201388495768,33.22944444444445,0.9999968750097656,1,2560
24,35.11316528385416,0.00010972829860695705,35.113055555555555,0.9999968750097656,1,3200
